,County,State,City,Pollutant,Date,total_population,cumulative_cases,cumulative_deaths,new_cases,new_deaths
131,Russell,Alabama,Phenix City,8.8,2020-01-29,58213.0,0,0,0.0,0.0
132,Russell,Alabama,Phenix City,10.1,2020-01-30,58213.0,0,0,0.0,0.0
133,Russell,Alabama,Phenix City,5.3,2020-02-01,58213.0,0,0,0.0,0.0
134,Russell,Alabama,Phenix City,3.9,2020-02-02,58213.0,0,0,0.0,0.0
135,Russell,Alabama,Phenix City,7.9,2020-02-04,58213.0,0,0,0.0,0.0
136,Russell,Alabama,Phenix City,7.0,2020-02-05,58213.0,0,0,0.0,0.0
137,Russell,Alabama,Phenix City,3.2,2020-02-07,58213.0,0,0,0.0,0.0
138,Russell,Alabama,Phenix City,8.3,2020-02-08,58213.0,0,0,0.0,0.0
139,Russell,Alabama,Phenix City,5.1,2020-02-10,58213.0,0,0,0.0,0.0
140,Russell,Alabama,Phenix City,5.7,2020-02-11,58213.0,0,0,0.0,0.0
141,Russell,Alabama,Phenix City,3.9,2020-02-13,58213.0,0,0,0.0,0.0
142,Russell,Alabama,Phenix City,3.3,2020-02-14,58213.0,0,0,0.0,0.0
143,Russell,Alabama,Phenix City,8.4,2020-02-16,58213.0,0,0,0.0,0.0
144,Russell,Alabama,Phenix City,6.1,2020-02-17,58213.0,0,0,0.0,0.0
145,Russell,Alabama,Phenix City,1.8,2020-02-19,58213.0,0,0,0.0,0.0
146,Russell,Alabama,Phenix City,1.3,2020-02-20,58213.0,0,0,0.0,0.0
147,Russell,Alabama,Phenix City,10.8,2020-02-22,58213.0,0,0,0.0,0.0
148,Russell,Alabama,Phenix City,13.1,2020-02-23,58213.0,0,0,0.0,0.0
149,Russell,Alabama,Phenix City,3.8,2020-02-25,58213.0,0,0,0.0,0.0
150,Russell,Alabama,Phenix City,5.1,2020-02-26,58213.0,0,0,0.0,0.0
151,Russell,Alabama,Phenix City,8.7,2020-02-28,58213.0,0,0,0.0,0.0
152,Russell,Alabama,Phenix City,7.3,2020-02-29,58213.0,0,0,0.0,0.0
153,Santa Cruz,Arizona,Nogales,2.1,2020-01-22,46584.0,0,0,,
154,Santa Cruz,Arizona,Nogales,1.1,2020-01-22,46584.0,0,0,,
155,Santa Cruz,Arizona,Nogales,9.0,2020-01-28,46584.0,0,0,0.0,0.0
156,Santa Cruz,Arizona,Nogales,8.5,2020-01-28,46584.0,0,0,0.0,0.0
157,Santa Cruz,Arizona,Nogales,5.1,2020-02-03,46584.0,0,0,0.0,0.0
158,Santa Cruz,Arizona,Nogales,3.0,2020-02-03,46584.0,0,0,0.0,0.0
159,Santa Cruz,Arizona,Nogales,15.8,2020-02-15,46584.0,0,0,0.0,0.0
160,Santa Cruz,Arizona,Nogales,16.0,2020-02-15,46584.0,0,0,0.0,0.0
161,Santa Cruz,Arizona,Nogales,6.1,2020-02-21,46584.0,0,0,0.0,0.0
162,Santa Cruz,Arizona,Nogales,5.6,2020-02-21,46584.0,0,0,0.0,0.0
163,Santa Cruz,Arizona,Nogales,8.2,2020-02-27,46584.0,0,0,0.0,0.0
164,Santa Cruz,Arizona,Nogales,7.7,2020-02-27,46584.0,0,0,0.0,0.0
165,Santa Cruz,Arizona,Nogales,4.6,2020-03-04,46584.0,0,0,0.0,0.0
166,Santa Cruz,Arizona,Nogales,3.9,2020-03-04,46584.0,0,0,0.0,0.0
167,Santa Cruz,Arizona,Nogales,2.9,2020-03-10,46584.0,0,0,0.0,0.0
168,Santa Cruz,Arizona,Nogales,1.3,2020-03-10,46584.0,0,0,0.0,0.0
169,Santa Cruz,Arizona,Nogales,6.5,2020-03-16,46584.0,0,0,0.0,0.0
170,Santa Cruz,Arizona,Nogales,4.7,2020-03-16,46584.0,0,0,0.0,0.0
171,Santa Cruz,Arizona,Nogales,12.2,2020-03-22,46584.0,1,0,0.0,0.0
172,Santa Cruz,Arizona,Nogales,10.5,2020-03-22,46584.0,1,0,0.0,0.0
173,Santa Cruz,Arizona,Nogales,5.3,2020-03-28,46584.0,2,0,0.0,0.0
174,Santa Cruz,Arizona,Nogales,3.8,2020-03-28,46584.0,2,0,0.0,0.0
175,Maricopa,Arizona,Phoenix,11.1,2020-01-22,4253913.0,0,0,,
176,Maricopa,Arizona,Mesa,11.0,2020-01-22,4253913.0,0,0,,
177,Maricopa,Arizona,Scottsdale,9.6,2020-01-22,4253913.0,0,0,,
178,Maricopa,Arizona,Scottsdale,9.6,2020-01-22,4253913.0,0,0,,
179,Maricopa,Arizona,Phoenix,12.0,2020-01-22,4253913.0,0,0,,
180,Maricopa,Arizona,Phoenix,9.8,2020-01-22,4253913.0,0,0,,
181,Maricopa,Arizona,Phoenix,9.4,2020-01-22,4253913.0,0,0,,
182,Maricopa,Arizona,Phoenix,14.0,2020-01-22,4253913.0,0,0,,
183,Maricopa,Arizona,Glendale,8.8,2020-01-22,4253913.0,0,0,,
184,Maricopa,Arizona,Tempe,8.4,2020-01-22,4253913.0,0,0,,
185,Maricopa,Arizona,Phoenix,10.1,2020-01-22,4253913.0,0,0,,
186,Maricopa,Arizona,Phoenix,12.0,2020-01-22,4253913.0,0,0,,
187,Maricopa,Arizona,Phoenix,27.9,2020-01-25,4253913.0,0,0,0.0,0.0
188,Maricopa,Arizona,Mesa,10.3,2020-01-25,4253913.0,0,0,0.0,0.0
189,Maricopa,Arizona,Phoenix,11.8,2020-01-25,4253913.0,0,0,0.0,0.0
190,Maricopa,Arizona,Phoenix,16.2,2020-01-25,4253913.0,0,0,0.0,0.0
191,Maricopa,Arizona,Phoenix,17.3,2020-01-25,4253913.0,0,0,0.0,0.0
192,Maricopa,Arizona,Phoenix,34.1,2020-01-25,4253913.0,0,0,0.0,0.0
193,Maricopa,Arizona,Glendale,10.9,2020-01-25,4253913.0,0,0,0.0,0.0
194,Maricopa,Arizona,Tempe,10.4,2020-01-25,4253913.0,0,0,0.0,0.0
